Model Type,KF,Sensitivity Max,Infidelity
DET,0,0.49827754,42.391323
DET,1,0.50066423,21.21235
DET,2,0.52787006,27.048496
DET,3,0.53925854,34.28902
DET,4,0.4614222,35.033672
VDP,0,0.24125499,0.010361743
VDP,1,0.23998633,0.012802771
VDP,2,0.23306374,0.007970677
VDP,3,0.2377159,0.010510541
VDP,4,0.24408501,0.011026165
BBB,0,827634900.0,0.07496864
BBB,1,16864066.0,0.056418035
BBB,2,56565370.0,0.0998749
BBB,3,3819410.8,0.111027926
BBB,4,1705546.6,0.07634733
