Model Type,KF,Sensitivity Max,Infidelity
DET,0,0.5084803700447083,9.381684303283691
DET,1,0.47967612743377686,6.0963053703308105
DET,2,0.5043228268623352,10.519840240478516
DET,3,0.49979862570762634,12.972192764282227
DET,4,0.5536898374557495,15.051163673400879
VDP,0,1.151811957359314,0.030820563435554504
VDP,1,1.218295931816101,0.02704049088060856
VDP,2,1.0028263330459595,0.02120235376060009
VDP,3,1.1152613162994385,0.034806784242391586
VDP,4,1.2401373386383057,0.026221496984362602
BBB,0,18.493528366088867,0.0501018688082695
BBB,1,49.38117980957031,0.03896823897957802
BBB,2,49.012115478515625,0.061714231967926025
BBB,3,36.44795608520508,0.09158913791179657
BBB,4,29.593475341796875,0.04668702557682991
